Original summaries ,Human Summaries
"I've used various NiMH chargers for years, and this is probably the worst I've ever used.  I keep it next to my computer to charge AA batteries for my bluetooth keyboard and mouse, and the batteries last approximately 1.5 days before they need another charge.  If I put the exact same batteries into my $15 energizer charger I bought from walgreens, they last for weeks.  This is regardless of whether I use the new Sony batteries that came with the device, or the energizers I get from walgreens.

It's also very aggressive about reporting that batteries are past their usable lifetime.  Some of the batteries I just got with the device are already dead after only a few charge cycles.

Perhaps I got a dud, but I will stay away from sony chargers in the future.",These are the worst NiMH charge I’ve had in year. I use them to charge my keyboard and mouse and it only last 1.5 before an additional charge. Using the same batteries in a $15 Walmart charger lasts for 2eeks. It is also aggressive about reporting on battery life. Perhaps I got a dud
"As everyone should know, any HDMI cable should be the same besides a few minor differences in version so I bought this cheap HDMI cable rather than expensive lies at retail stores, etc. I have to say that I am very satisfied with this product. You get a long cable that you can connect your tablet to your TV and still have the tablet not too far from you. The sound and video works perfectly. I haven't tested anything HD yet like 1080p movies but I'm sure it would work.

So I would recommend you buy this if you want an affordable mini-HDMI to HDMI cable that works and is long.","HDMI cables are the same outside of minor differences in version so I bought this cheap version. I am satisfied with this product. It is a long cable and the sound and video work perfectly. Haven’t tried HD, but it should still work. I recommend this if you want an affordable mini-HDMI to HDMI cable."
"for its size the sound is awesome. I bought this to use when kayaking. The only negative concern is it's blutooth range. It's horrible. I did a test using my iPhone 5 and walked away from it maintaining a clear line of sight and only got about 12- 15"" away and lost connection. The worst test was when my phone was on my lap and speaker was 2' away if i crossed my legs and lost line of sight it lost connection. They need to do better with the bluetooth range to make this truly an outstanding speaker. Would i buy again. maybe yes.. maybe no. For the kayak i can make it work otherwise i'll uses my bose airplay","This thing is awesome for its size. But it has terrible bluetooth range, about only 15’’ away. They need to improve the bluetooth range Maybe I would buy it again
"
"I have had so many problems with 64gb cards NOT working in my Note 3 and Note 2014, that I was very leery of spending yet more money.  Because this vendor's description says ""formatted specifically for..."", I decided to try, one more time.

Voila!  This card is working like it should in my Note 3!!!  I have a huge music collection which I like to have with me to feed through my car BT stereo, and I can finally HAVE all of my music with me, all of the time - no matter the mood of the day, I am able to play what I want!  I also have a huge photo collection, which I need with me at all times as a portfolio, and I can now do that, as well.

I will be buying another for my Note 2014, and expect to have the same good experience.  Thank You!","I had issue with 64 gb cards and my Note 3 and Note 2014, but I tried it again because of the vendor. Voila, this card works as it should and now I can listen to my large music collection. I will buy this for my Note 2014 and expect the same good experience.
"
"I purchased this micro SD card to use in a contour+ camera that I have mounted in my vehicle (I often make interstate drives) and wanted to extend the record time greater than the 32gb cards that I have.  I have not made a long trip with this card at this point, but it tested to be 64GB and has quick speed for video.  I generally get about 8 hours of recording on a 32GB card so on a drive longer than that, I have to change cards.  I expect this card to far exceed record time to cover any driving time I will make in a single day.  It immediately formatted to use in the Contour camera and works great.  I recommend this card if you want a higher speed/higher capacity card.","I purchased this micro SD to use in a camera I mounted on my vehicle and I wanted to extend the record time of my 32 gb cards. I have not made a long trip yet, but it is 64GB and has a quick video speed. I  expected this card to exceed the previous one and record driving time of a single day. It is formatted to use a contour camera and works great. Would recommend as a higher speed/capacity card."
"Imation Atom 8G USB Thumb Drive / B001B1AIIQ

When my old USB thumb drive was broken beyond all repair, I really fretted over the replacement. I wanted something small and unobtrusive, due to the many times that I had seen thumb drives damaged by brushing against the extruding drive in accident. I am really surprised that there does not yet exist a model that can lie flush against the side of the computer, but this Atom drive seemed the next best thing.

The Atom is remarkably small - the shown image of it next to a small paperclip is accurate - and it communicates amiably so far with every machine I have used it with. The drive initially came loaded with some security software, but as I was not interested in it, I removed it from the drive, and have had no problems with the drive operation doing so. I couldn't be happier with my little thumb drive, in fact.

EDIT: Literally one month after buying this, the black plastic fractured and broke badly, after VERY light use and carrying in my purse. Considering that the thumb drive I had before this lasted for 3+ years in my purse, and considering the sizable price for this drive, I am very disappointed. I originally gave this USB five stars for ease of use (as you can see above), but with quality this poor, there's no reason to spend money on this device. I would return it if I could at this point, but I no longer have the original packaging.

EDIT2: And Imation has still not returned my email informing them about the problem and requesting that they replace the thumb drive as it must surely still be under some form of warranty. I am terribly disappointed and will not buy from Imation again.

~ Ana Mardoll","I wanted a small USB thumb drive replacement for my old one, but could not find one that can lie flush against the side of the computer. This Atom is the next best thing, about the size of a small paperclip. It has some security software, but I removed it and am happy so far. EDIT: one month after use.I am disappointed and I can no longer return since I don’t have the original packaging. EDIT2: Imation has not returned my email about the problem and I am both disappointed and will not buy from them again.
"
"This little light is a very nice unit... premium build quality, very lightweight and thin design, responsive and ergonomic on/off button.  The light cast is a pleasant warm light, of about the perfect brightness.  I've been using it for about two weeks now, approx 30-60 minutes per night, and have not yet run through the first set of batteries.

My only fault is that the bendable neck is a tad short, I find that I need to clip the light to the side of my pages to get sufficient illumination across the page without having the bright pinpoint of the led shine in my eyes.  I am also concerned a bit by the battery usage... I opted for this less expensive model though, and knew what I was ordering.

I will be ordering the rechargeable version today, it appears to have a slightly longer neck and not needing new batteries every so often should be a plus.","This small light has premium build quality, lightweight design and responsive on/off button. Light is pleasant warm light and have used for two week roughly 30-60 minute per night on the first set of batteries. Only issue is the bendable neck is too short. I am concerned about battery usage but expected issue when buying the less expensive model. I will order the rechargeable version today with a slightly longer neck and not needing new batteries.
"
"The VDOMUS Premium Rain Handheld Shower Head is great! I received this shower head yesterday and my husband installed it last night. It was very easy to install (can use it on the existing plumbing that comes from the wall). In one evening, the detachable shower head made my life A LOT easier. My young daughter refuses to take a shower, only baths. She has very long, thick hair and dumping cups of water on it just isn't cutting it anymore. I was able to use this detachable shower head last night to rinse her hair and there were no screams! haha
I know that every home is different, but it had just enough water pressure to get a good rinse on your hair or body. It wasn't too hard and it wasn't too soft.
After I got my daughter out of the tub, I put the dog in. Once again, the ease of rinsing was perfect! I felt like everyone was a lot more clean and rinsed off after using this.
I received this product at a discount price in exchange for my honest opinion.","VDOMUS Premium Rain Handheld SHower Head is great and easy to install. The detachable shower head has my life much easier. My young daughter only takes bath and this shower head was making showering easy. Perfect water temperature. I also used this for the dog. Ease of rinsing was perfect. Note I received this product at a discounted price for my opinion. 

"
"This cover offers decent quality for the price. the plastic shell backing fits snugly and the cover shuts with a magnetic connection. I purchased a similar cover with metal hinges and this one is a one-piece design; much better and reliable. This will not save your device from devastating falls or smashes, but will take nice care of the iPad if you're already careful with it. One downside: the cover is supposed to fold to be used as a stand and it does, but it ends up being far too flush with the back of the device and it stands straight up. It works, but there's not much of a tilt to it.","Plastic shell cover offer descend quality for price, with a sug fit and cover with magnetic connection. This is better than a previous cover I purchased. This will not save dciec from devastating falls, but will take care of IPad if you are already careful. One downside is that the cover is meant to be a stand, but has not enough tilt to it"
"I Wondered if this is designed solely for reading Text-only books/magazines. I have some books with i purchased are in PDF. Plus i have some word documents which i have converted to PDF. Both in my books and in my Word-Converted-PDF files have lot of pictures. Lot of the data are tabular representation are actually pictures. When i read them in nook, The letters in the pictures are virtually unreadable as they are too small. When i try to increase the font size, it does not work. IT WORKS ONLY FOR TEXTS! I Have never used kindle so don't know if the issue is there in kindle too. Also the PDF Pages are scattered all over the place. 1 Page in actual PDF file appears as 3 pages sometimes with a blank page in between. Not sure what is causing this.

MY Nook does have a Web Browser but it only works with WI-FI, Not with the 3G. In 3G you can ONLY interact with BarnesandNobles.com

The touch screen response and user-friendliness are OK. Not great, After dealing with much more faster and better touch screens we use now-a-days.

Go for it (And Kindle) if you are reading Text only book with very little or no graphics. AMAZON and B&N Needs to improve their products and i am sure they will!","I wonder if this is mean for Text-only books/magazines. I have PDFS, but when I read them in nook the letters in the pictures are too small to be readable. I cannot increase the font size, only works for text. I never used a kindle so I don’t know if its a kindle issue.  Also PDF pages get scattered all over the place. My nook has a web browser that only work on WIFI and on 3G only on BarnesandNobles.com. If you have text only books go for it. AMAZON and B&N need to improve this product."
"I bought these as a replacement when my Panasonic earphones of the same type died on me after almost a year. I'll be comparing the 2. I chose these because I had a gift card and was a little short to get the Panasonics again (really liked them!).

The Panasonic phones were thin whereas the Koss are at least twice as thick making them feel bulky and heavy. The earpiece that goes over the back of the ear is hard and unforgiving. I actually have to hook it in the stem of my glasses with some hair after a short time or it starts to hurt!

About the only thing I like BETTER about the Koss ones is the cord length. It's longer though it's missing the longer cord on one side that allows the user to put the cord behind the neck preventing things from catching it.

For a cheap pair of phones, these work but if you can spring for the Panasonics or better.","
I bought these replacements for my dead Panasonic earphones of the same type. To compare the two, I only chose these because I had a gift card and was short of the original ones. The koss are thicker than the Panasonic phones and the earpiece is hard and unforgiving. The only thing that they do better is cord length. For a cheap pair of phones, these work but you can spring for Panasonic or better. 
"
"This book is specific to Snow Leopard, which means it's obsolete for anyone currently buying a new Mac.  But if you're buying one used (or an archaeologist reading this millions of years in the future) you might find it useful.

Apple has a reputation for design and ease of use, but the nuts and bolts of a Mac are harder to grasp or learn about.  Since Macs don't come with an instruction manual (just a shiny little book that says ""hello"" on the cover) it's useful to have something like this around.

It's beautifully illustrated with screen captures, but strangely organized - things will appear in the sidebar that aren't explained until much later. It can be difficult to use as a quick reference, which, in my opinion, is really what an everyday user needs; this is meant to be read cover to cover, and by that point, you're a Mac genius.","This is specific to Snow Leopard and is obsolete for new Macs. Might be useful for used Macs. Apple has a reputation for design and ease of use, but the nuts and bolts of a Mac are hard to learn/understand. Since they don’t come with a manual, it is useful to have something around this book. It is beautifully illustrated with screen captures, but strangely organized. Mean to be used for quick reference, which is what everyday users need. 
"
"I wanted to sync my iPod as quickly as possible, and the documentation (printed and online) suggested that firewire would be faster than USB or USB2.0. But I've synced several times each way, and at least this PCMCIA firewire cardbus is *slower* than USB2.0.

Plus, the iPod battery is recharged during a USB/USB2.0 sync, but *not* during a firewire sync. So not only does the firewire sync take longer just for the music, and not only is additional time (and a connection) required to recharge the battery, but the battery also drains *during* the firewire sync, making it a triply long process.

I'm returning this, and going back to USB.","
I want to sync my iPods as quickly as possible and the suggestion was firewire. But firewire cardbus is *slower* than USCB2.0. Plus the iPod can be charged with USC/USCB2.0 sync, but not with firewire sync. Not only does firewire take a long time to sync music, but it also drains during firewire sync, making it a long process. I’m return this and going back to USB
"
"I've had this mouse for around 6 months now.  I am a data analyst and make around 8000-10000 movements a day with my mouse.  I bought this thinking the more ergonomic design would reduce the chronic pain in my hand, wrist, elbow and shoulder.  It is better than a traditional mouse design by about 30%.  Meaning you will probably be on disability 30% faster with a regular mouse.  I am now looking for something with better ergonomics.  For the last 10 days  my right hand has been swollen and it hurts a little more each day.  This mouse has only slowed down the inevitable not prevented it.  Apart from the physical assessment of this mouse it is pretty good but not perfect.  There is a glitch in the software that sometimes freezes up your programed functions if you are away from your computer for a while.  You have to go into your mouse settings and click on apply settings then exit and that usually resets it.  Its a little annoying when this happens.  Over all a fairly good mouse.","I bought this ergonomic mouse 6 month ago and I thought it would reduce the chronic hand, wrist, elbow and shoulder pain that I have. I think it is 30% better than the traditional mouse. This mouse has only slowed down the inevitable but not prevented it. The physical assessment of the mouse is good but not perfect. It has software glitches that freeze up programs when you are away and the fix is a little annoying. But overall, a good mouse.
"
"Just got this refurb Nook as my first ebook reader, and I am very happy.  Like any other refurb electronic device I've bought in the past, the only way to tell this was a refurb was by looking at the receipt.  Otherwise, it looks brand-new, perfect finish and screen, and so far, it works fine.  Downloaded a couple free books from the B&N Store, a bunch of Project Gutenberg books, something from the Google bookstore, and a PDF, and they have all worked fine.  Even tried out the web browser.  It works, but with the slow refresh rate of the e-ink screen and the small size of the color LCD, it's more of a novelty than something you would use as a primary internet device.  Unfortunately, the browser doesn't support downloading, so you can't go the Project Gutenberg website and download a book directly from the site to the Nook.  Hopefully that gets changed in the future, that would be nice to be able to do!  But this is not a make-or-break issue, just a convenience I would like.  Otherwise, I'm very happy with this purchase!","Bought this refurb Nook as my first ebook reader and I am happy. Like any refurbed device I bought before , it is hard to tell it was refurb. Looks new and works fine. Downloads from free books from B&N store, Project Guteenberg, Google Boostore, and PDF. All works fine. Use the web browser that works, but thanks to the slow refresh rate of e-ink screen and small color LCD more a novelty. Unfortunately the browser doesn’t have downloading, making book download indirect. Hopefully this changes in the future. Not a make-or-break issue. I am happy with this purchase. 
"
